branches/branchid,branches/compid,branches/longitute,branches/latitude,branches/locationtext,branches/branchatmtitletext,branches/atmbranch,branches/addresstext,branches/phoneno,branches/weekdayworkhours,branches/facilitiesavailable,branches/enableDisability,branches/disability
SDU9870,intercontinental-hotel-auh,54.329087,24.458,Intercontinental Hotel AUH,Intercontinental Hotel AUH,ATM,"PO BOX 4171 King Abdullah Bin Abdul Aziz Al Saud Street, Abu Dhabi, United Arab Emirates",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9809,le-meridien-abudhabi,54.380327,24.499129,Le Meridien Abudhabi,Le Meridien Abudhabi,ATM,"PO BOX 46066 ,Tourist Club Area ,Abu Dhabi ,United Arab Emirates",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9970,marriot-hotelbloom-central,54.3677005,24.4700583,"Marriot Hotel, Bloom Central","Marriot Hotel, Bloom Central",ATM,"Al Wahda Mall, Sheikh Rashid Bin Saeed St.",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU9722,marriott-hotel-al-forsan,54.54827,24.407167,Marriott Hotel Al Forsan,Marriott Hotel Al Forsan,ATM,"Al Forsan International Sports Resort, Street 12 - Abu Dhabi",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SRU4604,Musaffah Branch - BRM,54.5225447,24.3779026,Musaffah Branch - Bulk Deposit Machine ,Musaffah Branch - Bulk Deposit Machine ,ATM,"Building no. N - 1(Mohd. Zayed Al Mansouri Building),M10, Musaffah Industrial Area, Near Abudhabi Municipality Musaffah, Abu Dhabi",+971 4 424 4444,24/7,Bulk Cash/Coin Deposits # Cash Withdrawal # Card/Bill Payments # Cheque Book Request,,Disability friendly access
SCU4601,musaffah-ccdm,54.5225447416305,24.3779026247729,Musaffah Branch CCDM,Musaffah Branch - Cash Deposit ATM,ATM,Sanaiya Mussaffah Behind Nbad Near Mussaffah Police Station,+971 4 424 4444,24/7,Cash Withdrawal #Cardless cash withdrawal Cash & Cheque deposits # Financial Summary # Bill Payments # Money transfers # Cheque Book request # Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services #Apply for Products  # Profile Update # Preference settings,,Disability friendly access
ITM4611,musaffah-ITM,54.5225447416305,24.3779026247729,Musaffah Branch - Interactive Teller Machine,Musaffah Branch - ITM,ATM,Sanaiya Mussaffah Behind Nbad Near Mussaffah Police Station,+971 4 424 4444,"Remote teller services : 8:00 AM to 7:00 PM (Mon-Sat), 7:30 AM to 12:30 PM and 2:30 PM to 7:00 PM (Fri) , other ATM services are accessible 24/7",Cheque Encashment & Remote Teller Services # Cash Withdrawal # Cash / Cheque Deposit # Cheque Book Request # Card / Bill Payment # Money Transfer # Card Replacement / Activation # Mashreq Online Services # EID / Passport / Visa Update,,Disability friendly access
SKU4621,musaffah-kiosk,54.5225447416305,24.3779026247729,Musaffah Branch - Kiosk,Musaffah Branch - Service Kiosk,ATM,Sanaiya Mussaffah Behind Nbad Near Mussaffah Police Station,+971 4 424 4444,24/7,Instant Statement Printing (NEW) # Financial Summary #Bill Payments #Money transfers #Cheque Book request #Statement request #PIN issuance #Card Blocking / Replacement #Mashreq Online Services #Apply for Products #Donate to charity #Profile Update #Preference settings,,Disability friendly access
SDU0238,nbb-workers-city,54.4271,24.1544,NBB Worker's City,NBB Workers City,ATM,Mojumaat Hameem Which Is 60 Kms West Of Abu Dhabi,+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9706,park-rotana-hotel,54.473818,24.423712,Park Rotana Hotel,Park Rotana Hotel,ATM,Al Shahama Rd.,+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU9865,progoti-exchange-electra-street,54.36314,24.48608,Progoti Exchange - Electra Street,Progoti Exchange - Electra Street,ATM,"Al Danah , Electra Street , Abu Dhabi , UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9890,progoti-exchange-musaffah,54.501561,24.354592,Progoti Exchange - Musaffah ,Progoti Exchange - Musaffah ,ATM,"Shop No. 7, Plot - 88 M37. Abu Dhabi Mussafah 122999",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
SDU9850,radisson-blu-hotel-and-resortsabu-dhabi,54.325707,24.462922,Radisson Blue Hotel and Resorts ,"Radisson Blu Hotel and Resorts, Abu Dhabi",ATM,"Corniche road , Abu dhabi UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9855,ramada-hotel-abu-dhabi,54.374547,24.503763,Ramada hotel Abu Dhabi,Ramada hotel Abu Dhabi,ATM,"Mina Street , Corniche Road , Tourist Club Area , Post Box 128743 , Abu Dhabi UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU9954,ritz-carlton-hotel,54.485343,24.411094,Ritz Carlton Hotel,Ritz Carlton Hotel,ATM,"Ritz Carlton Grand Canal, International Airport Road, Abu Dhabi UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU9854,rixos-saadiyat-island,54.433103,24.543024,Rixos @ Saadiyat Island,Rixos @ Saadiyat Island,ATM,"Saadiyat Island , P.O Box # 35665 , Abu Dhabi , UAE",+971 4 424 4444,Temporarily Closed,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9967,salam-city,54.428307,24.155131,Salam City,Salam City,ATM,"Hameem Road, Abu Dhabi",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9894,st-regis-saadiyat-island,54.424602,24.539527,St.Regis Saadiyat Island,St.Regis Saadiyat Island,ATM,"Saadiyat Island , Abu Dhabi UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9651,address-beach-resort,55.1265700,25.0727050,Address Beach Resort,Address Beach Resort,ATM,"P.O Box is 214042 , JBR the walk , Dubai UAE",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9859,address-sky-view-hotel,55.270434,25.201464,Address Sky View hotel,Address Sky View hotel,ATM,"Sheikh Mohammed Bin Rashed Boulevard Downtown Dubai, PO Box 111969  DubaiUAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9933,dubai-airport-terminal-1arrivals-pre-immigration-area,55.36003504,25.24529753,Dubai Airport - Terminal 1 -  Arrivals - Pre Immigration area,Dubai Airport - Terminal 1 -  Arrivals - Pre Immigration area,ATM,"Dubai Airport, Airport Road Terminal 1 Arrivals Pre Immigration Area",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Donate to charity # Profile Update # Preference settings,1,Disability friendly access
SDU0253,dubai-airport-terminal-1-departure,55.35361,25.24848,"Dubai International Airport - Terminal 1, Departure","Dubai International Airport - Terminal 1, Departure",ATM,"Dubai Airport Terminal 1 Departure Area (Visitors area, before Check in counters), Opposite Block D Entrance",+971 4244444,24/7,"#Cash Withdrawals, AED,USD, EUR # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings",1,Disability friendly access
SDU0254,dubai-airport-terminal-3-departure,55.3616000,25.2455000,"Dubai International Airport - Terminal 3, Departure","Dubai International Airport - Terminal 3, Departure",ATM,Dubai Airport Terminal 3 Departure Area (Check in counters),04-424-4444,24/7,"Cash Withdrawals, AED,USD, EUR # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings",1,Disability friendly access
SDU9701,al-ansari-exchange-al-barsha-main,55.204035,25.117597,"Al Ansari Exchange, Al Barsha Main","Al Ansari Exchange, Al Barsha Main",ATM,"Al Barsha 1, Halim St.",+971 4 4244444,8AM - 10:30PM,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9873,al-ansari-exchange-fish-roundabout-deira,55.315936,25.270504,Al Ansari Exchange - Fish Roundabout Deira,Al Ansari Exchange - Fish Roundabout Deira,ATM,"Omar Bin Khattab road Deira , near to Fish Roundabout - Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9780,al-ansari-exchange-frij-murar,55.310536,25.278773,Al Ansari Exchange - FRIJ MURAR,Al Ansari Exchange - FRIJ MURAR,ATM,"Omar Bin Alkhattab St, near Murar Jadeed Bus Station , Murar,Deira",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9853,al-ansari-exchange-satwa,55.274476,25.227674,Al Ansari Exchange - Satwa,Al Ansari Exchange - Satwa,ATM,"Satwa , near Bus station, shop # 12 & 13 @ Satwa home building , Al Bada - Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9891,al-faaz-supermarket,55.308835,25.277055,Al Faaz SuperMarket,Al Faaz SuperMarket,ATM,"Frij Al Murar , Deira Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9627,al-fahidi-metro-station,55.2975250,25.2582710,Al Fahidi Metro Station,Al Fahidi Metro Station,ATM,"Khalid Bin Al Waleed street , Bur Dubai , Dubai , UAE",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU9941,al-fardan-exchangesatwa,55.2736984,25.2282881,"Al Fardan Exchange, Satwa","Al Fardan Exchange, Satwa",ATM,Satwa Road Dubai,+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9976,al-ghurair-exchangekarama,55.3003008,25.2458159,"Al Ghurair Exchange, Karama","Al Ghurair Exchange, Karama",ATM,"Al Karama, Al Kuwait St.",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9726,al-ghurair-exchangenaif,55.307713,25.274253,"Al Ghurair Exchange, Naif","Al Ghurair Exchange, Naif",ATM,169 Naif St - Dubai,+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9661,atm-dxb-al-ghurair-exchange-OBK,55.3161900,25.2698500,Al Ghurair Exchange Omar Bin Al Khattab Road,Al Ghurair Exchange Omar Bin Al Khattab Road,ATM,"Ground Floor , near to Mutenna park Signal , Omar bin al khattab road , Deira Dubai UAE",+9714 4 24 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
